Rb.;"Naziv tijela";OIB;Adresa;"Br. pošte";Grad;Telefon;Fax;Www;E-mail;"Ime i prezime službenika";"Tel. službenika";"E-mail. službenika";Osnivač;"Pravni status";Djelatnost;"Zadnja izmjena"
21;"Agencija za održivi razvoj Općine Antunovac - RODA d.o.o.";96058196229;"Gospodarska zona Antunovac 23";31216;Antunovac;"(+385 31) 670 499";"(+385 31) 670 495";www.roda-antunovac.hr;info@roda-antunovac.hr;"Maja Pofuk; Danijela Erkapić";"(+385 99) 3923 577";info@roda-antunovac.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Gospodarstvo;"2021-04-20 08:48:41"
22;"Agencija za osiguranje radničkih tražbina";04323472109;"Frankopanska 11";10000;Zagreb;"(+385 1) 4820 130";"(+385 1) 4820 149";www.aort.hr;aort@aort.hr;"Martina Kovačević";"(+385 1) 4820 141";aort@aort.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";"Zapošljavanje, rad i radni odnosi";"2018-01-11 09:45:37"
23;"Agencija za plaćanja u poljoprivredi, ribarstvu i ruralnom razvoju";99122235709;"Ulica grada Vukovara 269d";10000;Zagreb;"(+385 1) 6002 742";"(+385 1) 6002 851";www.apprrr.hr;info@apprrr.hr;"Maja Stokanović";"(+385 1) 6002 744";maja.stokanovic@apprrr.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";"Poljoprivreda, šumarstvo i veterinarstvo";"2019-05-08 14:09:27"
24;"Agencija za podršku informacijskim sustavima i informacijskim tehnologijama d.o.o. - APIS IT d.o.o";02994650199;"Paljetkova 18";10001;Zagreb;"(+385 1) 3885 777";"(+385 1) 3880 504";www.apis-it.hr;apis-it@apis-it.hr;"Ivana Lokas";"(+385 1) 3855 188";ppi@apis-it.hr;"Republika Hrvatska";"Trgovačka društva";"Statistika i informacijsko-dokumentacijska djelatnost";"2018-01-10 10:04:04"
25;"Agencija za pravni promet i posredovanje nekretninama - APN";69331375926;"Savska cesta 41";10000;Zagreb;"(+385 1) 6331 600; (+385 1) 6331 604";"(+385 1) 6177 045";www.apn.hr;apn@apn.hr;"Marta Vargek";"(+385 1) 6331 637";marta.vargek@apn.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";Gospodarstvo;"2022-02-03 15:14:15"
26;"Agencija za razvoj i investicije Grada Vinkovaca Via d.o.o.";64286685872;"Vatrogasna 5";32100;Vinkovci;"(+385 32) 340 030";;www.viavinkovci.hr;info@viavinkovci.hr;"Magdalena Vidović";"(+385 32) 340 030";info@viavinkovci.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Gospodarstvo;"2019-08-19 15:43:08"
27;"Agencija za razvoj Varaždinske županije d.o.o. - AZRA";86162581561;"Kratka 1";42000;Varaždin;"(+385 42) 422 200";"(+385 42) 422 208";www.azra.hr;info@azra.hr;"Saša Gregurinčić";"(+385 42) 422 200";sasa.gregurincic@rrvz.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Gospodarstvo;"2022-02-18 13:28:21"
28;"Agencija za razvoj Zadarske županije ZADRA NOVA";95315590590;"Put Murvice 14";23000;Zadar;"(+385 23) 492 880";"(+385 23) 492 881";www.zadra.hr;zadra@zadra.hr;"Marija Dušević";"(+385 23) 233 021";marija.dusevic@zadra.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Regionalni razvoj";"2021-01-29 13:13:32"
29;"Agencija za reviziju sustava provedbe programa Europske unije - ARPA";94432282335;"Alexandera von Humboldta 4";10000;Zagreb;"(+385 1) 4585 999";"(+385 1) 4585 995";www.arpa.hr;vesna.vlasic@arpa.hr;"Vesna Vlašić";"(+385 1) 4585 968";vesna.vlasic@arpa.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";Gospodarstvo;
30;"Agencija za sigurnost željezničkog prometa";99256282044;"Radnička cesta 39";10000;Zagreb;"(+385 1) 6061 314";"(+385 1) 6061 309";www.asz.hr;info@asz.hr;"Tomislav Soldo";"(+385 1) 6061 314";tomislav.soldo@asz.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";"Promet i komunikacije";
31;"Agencija za strukovno obrazovanje i obrazovanje odraslih - ASOO";40719411729;"Garićgradska ulica 18";10000;Zagreb;"(+385 1) 6274 666";"(+385 1) 6274 606";www.asoo.hr;ured@asoo.hr;"Ana Smodek";"(+385 1) 6274 661";ana.smodek@asoo.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";"Odgoj, obrazovanje, znanost i sport";"2022-04-04 15:14:09"
32;"Agencija za studentski standard";33195887939;"Ruđera Boškovića 5";23000;Zadar;"(+385 23) 300 970";"(+385 23) 300 982";www.azss.hr;ured@azss.hr;"Ina Krstić";"(+385 23) 300 972";info@azss.hr;"Javnopravno tijelo ili tijelo s prenesenim javnim ovlastima";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2020-10-01 09:29:15"
33;"Agencija za ugljikovodike";72156517632;"Miramarska 24";10000;Zagreb;"(+385 1) 6431 920";"(+385 1) 6431 925";www.azu.hr;info@azu.hr;"Željka Rukavina";"(+385 1) 6431 921";zeljka.rukavina@azu.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";Gospodarstvo;"2018-02-16 15:05:19"
34;"Agencija za zaštitu osobnih podataka";28454963989;"Selska cesta 136";10000;Zagreb;"(+385 1) 4609 000";"(+385 1) 4609 099";www.azop.hr;azop@azop.hr;"Iva Ivanković; Iva Kratzl";"(+385 1) 4609 000";szinfo@azop.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";"Javna uprava i politički sustav";"2021-12-24 10:26:22"
35;"Agencija za zaštitu tržišnog natjecanja - AZTN";54882480048;"Savska cesta 41/XIV";10000;Zagreb;"(+385 1) 6176 448";"(+385 1) 6176 450";www.aztn.hr;agencija.ztn@aztn.hr;"Branka Erić";"(+385 1) 6172 133";branka.eric@aztn.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";Gospodarstvo;"2019-01-18 10:45:41"
36;"Agencija za znanost i visoko obrazovanje - AZVO";83358955356;"Donje Svetice 38/V";10000;Zagreb;"(+385 1) 6274 800; (+385 1) 6274 895";"(+385 1) 6274 801";www.azvo.hr;"ured@azvo.hr; javnost@azvo.hr";"Mirjana Gopić";"(+385 1) 6274 817";mirjana.gopic@azvo.hr;"Republika Hrvatska";"Agencije i druge samostalne pravne osobe s javnim ovlastima RH";"Odgoj, obrazovanje, znanost i sport";"2019-02-04 14:57:04"
37;"Agro-klaster d.o.o. za poslovnu podršku projektima poljoprivredno-prehrambenog sektora";45539826065;"Glagoljaška 27";32100;Vinkovci;"(+385 32) 637 449";;www.agro-klaster.hr;ak.tajnistvo@gmail.com;"Snježana Tucaković";"(+385 32) 637 449";ak.tajnistvo@gmail.com;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Poljoprivreda, šumarstvo i veterinarstvo";"2022-01-27 14:30:34"
38;"AGRODUHAN d.o.o.";97446273531;"Nikole Šubića Zrinskog 30";33520;Slatina;"(+385 33) 551 422";"(+385 33) 552 402";www.agroduhan.hr;agroduhan@agroduhan.hr;"Elvis Mališ";"(+385 33) 554 511";elvismalis@agroduhan.hr;"Republika Hrvatska";"Trgovačka društva";Gospodarstvo;"2021-01-11 08:20:52"
39;"Agronomska škola Zagreb";24154741411;"Gjure Prejca 2";10040;Zagreb-Dubrava;"(+385 1) 2988 670";"(+385 1) 2988 670";www.ss-poljoprivredna-zg.skole.hr;agronomskaskolazg@psz.hr;"Elizabet Sobota";"(+385 1) 2988 670";agronomskaskolazg@psz.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2020-01-24 10:33:23"
40;"AKD-Zaštita d.o.o.";09253797076;"Savska cesta 28";10000;Zagreb;"(+385 1) 4800 200";"(+385 1) 4800 272";www.akd-zastita.hr;akd-zastita@akdz.hr;"Helena Kušević";"(+385 1) 4800 286";helena.kusevic@akdz.hr;"Republika Hrvatska";"Trgovačka društva";"Javni red i sigurnost";"2022-01-31 09:18:25"
41;"Albanež d.o.o. javna odvodnja";18426902929;"Pomer 1";52100;Pula;"(+385 52) 573 136";"(+385 52) 574 046";www.albanez.hr;edo.krajcar@albanez.hr;"Edo Krajcar";"(+385 52) 573 136";edo.krajcar@albanez.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2016-11-21 15:43:03"
42;"Američka međunarodna škola u Zagrebu";;"Ul. Damira Tomljanovića 3";10000;Zagreb;"(+385 1) 7999 300";"(+385 1) 4680 171";www.aisz.hr;aisz@aisz.hr;;;;"Fizička ili privatna pravna osoba";"Ostale pravne osobe i tijela s javnim ovlastima";"Odgoj, obrazovanje, znanost i sport";"2020-02-17 12:58:08"
43;"Ansambl narodnih plesova i pjesama Hrvatske LADO";28251263363;"Trg Republike Hrvatske 6a";10000;Zagreb;"(+385 1) 4828 472";"(+385 1) 4828 474";www.lado.hr;lado@lado.hr;"Vjekoslav Šago";"(+385 91) 2547 979";vjekoslav.sago@lado.hr;"Republika Hrvatska";Ustanove;"Kultura i umjetnost";"2022-03-30 08:45:12"
44;"Aquacity d.o.o. za ugostiteljstvo, turizam i sportsku rekreaciju";08191654354;"Hallerova aleja 8";42000;Varaždin;"(+385 42) 350 658";;www.aquacity.hr;info@aquacity.hr;"Vera Kanjuga Starčević";"(+385 42) 421 612";vera.kanjuga.starcevic@aquacity.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Turizam;"2022-01-27 13:14:25"
45;"Arburoža d.o.o.";65785118677;"Čiponjac jug 6";53291;Novalja;"(+385 53) 661 824";"(+385 53) 661 892";www.arburoza.hr;info@arburoza.hr;"Ivan Dabo";"(+385 53) 661 819";pravnik@arburoza.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2018-01-18 12:28:35"
46;"Argyruntum d.o.o.";12144049303;"Trg Tome Marasovića 1";23244;"Starigrad Paklenica";"(+385 23) 359 264";"(+385 23) 359 108";www.argyruntum.hr;argyruntum@argyruntum.hr;"Marina Tomić";"(+385 23) 359 264";argyruntum@argyruntum.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2018-01-10 12:42:33"
47;"Arheološki muzej Istre";76185043859;"Carrarina ulica 3";52100;Pula;"(+385 52) 351 300";"(+385 52) 351 333";www.ami-pula.hr;"arheoloski-muzej-istre@pu.t-com.hr; darko.komso@ami-pula.hr";"Nevenka Dadić";"(+385 52) 351 303";tajnica.ami@gmail.com;"Republika Hrvatska";Ustanove;"Kultura i umjetnost";"2019-02-07 08:40:20"
48;"Arheološki muzej Narona";85570198172;"Naronski trg 6";20352;Vid;"(+385 20) 691 596; (+385 20) 687 149";"(+385 20) 691 597";www.a-m-narona.hr;info@a-m-narona.hr;"Maja Bebić";"(+385 20) 687 149";maja.bebic@a-m-narona.hr;"Republika Hrvatska";Ustanove;"Kultura i umjetnost";"2019-01-28 11:43:54"
49;"Arheološki muzej Osijek";36551793962;"Trg Svetog Trojstva 2";31000;Osijek;"(+385 31) 232 130";;www.amo.hr;amo@amo.hr;;;;"Republika Hrvatska";Ustanove;"Kultura i umjetnost";"2022-03-16 14:05:53"
50;"Arheološki muzej u Splitu";57340203536;"Zrinsko-Frankopanska 25";21000;Split;"(+385 21) 329 340";"(+385 21) 329 360";www.armus.hr;info@armus.hr;"Snježana Pavić";"(+385 21) 329 349";info@armus.hr;"Republika Hrvatska";Ustanove;"Kultura i umjetnost";"2020-01-29 13:12:26"
51;"Arheološki muzej u Zagrebu";79157146686;"Trg Nikole Šubića Zrinskog 19";10000;Zagreb;"(+385 1) 4873 000; (+385 1) 4873 101";"(+385 1) 4873 102";www.amz.hr;amz@amz.hr;"Sanja Mijač";"(+385 99) 2180 012";smijac@amz.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2022-02-04 10:23:53"
52;"Arheološki muzej Zadar";88252913683;"Trg opatice Čike 1";23000;Zadar;"(+385 23) 250 516; (+385 23) 250 542";"(+385 23) 251 033";www.amzd.hr;ravnatelj@amzd.hr;"Marina Brkić";"(+385 23) 250 613";mbrkic@amzd.hr;"Republika Hrvatska";Ustanove;"Kultura i umjetnost";
53;Art-kino;12254758142;"Krešimirova 2";51000;Rijeka;"(+385 51) 323 262";"(+385 51) 323 275";www.art-kino.org;ured@art-kino.hr;"Andrea Valušek";"(+385 51) 323 262";pravnik@art-kino.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Kultura i umjetnost";"2019-01-23 13:37:05"
54;"Auto promet Sisak d.o.o.";71445870691;"Zagrebačka 19";44000;Sisak;"(+385 44) 526 350";"(+385 44) 526 360";www.auto-promet-sisak.hr;uprava@auto-promet-sisak.hr;"Elizabeta Kalvarešin";"(+385 44) 526 350";uprava@auto-promet-sisak.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Gospodarstvo;"2016-02-01 13:06:52"
55;"Autocesta Zagreb - Macelj d.o.o.";82667270868;"Garićgradska 18";10000;Zagreb;"(+385 1) 3689 600";"(+385 1) 3689 620";www.azm.hr;office@azm.hr;"Nikolina Kotur";"(+385 1) 3689 600";sluzbenikzainformiranje@azm.hr;"Republika Hrvatska";"Trgovačka društva";"Promet i komunikacije";
56;"Azelija eko d.o.o.";48386413757;"Ulica akademika Milana Heraka 11";47280;Ozalj;"(+385 47) 731 422";"(+385 47) 731 685";www.azelija-eko.hr;info@azelija-eko.hr;"Melita Cvitković";"(+385 47) 731 422";melita@azelija-eko.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2021-02-05 12:44:41"
57;"AZRRI- Agencija za ruralni razvoj Istre d.o.o. Pazin";90943600495;"Ulica prof. Tugomila Ujčića 1";52000;Pazin;"(+385 52) 351 570";"(+385 52) 616 610";www.azrri.hr;info@azrri.hr;"Aleksandra Dušić Širol";"(+385 52) 351 570";info@azrri.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Poljoprivreda, šumarstvo i veterinarstvo";"2018-01-16 11:07:53"
58;"Baranjska čistoća d.o.o. za održavanje čistoće i odlaganje komunalnog otpada Beli Manastir";48154012452;"Republike 11";31300;"Beli Manastir";"(+385 31) 700 810";"(+385 31) 700 809";www.baranjskacistoca.hr;info@baranjskacistoca.hr;"Ružica Bartolić Kukučka";"(+385 99) 3125 472";ruzica@baranjskacistoca.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2020-05-06 12:12:41"
59;"Baranjska razvojna agencija Grada Belog Manastira";02079034243;"Kralja Tomislava 53";31300;"Beli Manastir";"(+385 31) 559 595";"(+385 31) 710 213";www.bara-bm.hr;bara@beli-manastir.hr;"Bojana Patković";"(+385 31) 559 593";bara@beli-manastir.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Regionalni razvoj";"2021-01-20 12:53:23"
60;"Baranjski vodovod d.o.o. za vodoopskrbu i odovodnju";15843910109;"Alojzija Stepinca 7";31300;"Beli Manastir";"(+385 31) 790 500";"(+385 31) 790 515";www.baranjski-vodovod.hr;info@baranjski-vodovod.hr;"Ivana Guzić Samardžija";"(+385 31) 790 506";ivanag@baranjski-vodovod.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";
61;"Batižele d.o.o.";73841169007;"Prilaz tvornici 39";22000;Šibenik;;;www.new-sibenik.com;batizele@sibenik.hr;"Nina Kursar";;batizele@sibenik.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Gospodarstvo;"2022-03-22 10:23:44"
62;"Benković d.o.o. za usluge";11321589428;"Šetalište kneza Branimira 12";23420;Benkovac;"(+385 23) 684 153";;www.benkovic.hr;info@benkovac.hr;"Jurica Vuksan Ćusa";"(+385 23) 684 153";pristupinformacijama@benkovic.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2020-12-28 09:53:17"
63;"Bicro biocentar d.o.o.";47298210538;"Borongajska cesta 83h";10000;Zagreb;"(+385 1) 6458 644; (+385 1) 6458 640";;www.biocentre.hr;sluzbenik.info@biocentre.hr;"Marina Gajski Živčec; Andrea Žaja";"(+385 1) 6458 470; (+385 1) 6458 471";"marinagz@biocentre.hr; andrea.zaja@biocentre.hr";"Republika Hrvatska";"Trgovačka društva";Gospodarstvo;"2018-07-05 15:47:58"
64;"Bikarac d.o.o.";68212264037;"Stjepana Radića 100";22000;Šibenik;"(+385 22) 338 363";"(+385 22) 662 992";www.bikarac.hr;tajnica@bikarac.hr;"Ivana Smoje";"(+385 22) 338 363";tajnica@bikarac.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";"Komunalne usluge i vodno gospodarstvo";"2018-01-26 08:42:58"
65;"BINA Istra d.d.";13439120211;"Savska 106";10000;Zagreb;"(+385 1) 6138 300";"(+385 1) 6138 301";www.bina-istra.hr;sluzbenikzainformiranje@bina-istra.com;"Tea Balde";"(+385 52) 601 138";t.balde@bina-istra.com;"Republika Hrvatska";"Trgovačka društva";"Promet i komunikacije";"2021-02-03 16:09:24"
66;"Birotehnika - Centar za dopisno obrazovanje odraslih";84375283263;"Gundulićeva 24/III";10000;Zagreb;"(+385 1) 4855 525";"(+385 1) 4855 522";www.birotehnika.hr;tajnistvo@birotehnika.hr;"Maja Vlajnić";"(+385 1) 4855 596";tajnistvo@birotehnika.hr;"Jedinica lokalne ili područne (regionalne) samouprave";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2016-02-16 13:28:38"
67;"Biskupijska klasična gimnazija Ruđera Boškovića s pravom javnosti";53245696677;"Poljana Ruđera Boškovića 6";20000;Dubrovnik;"(+385 20) 642 227";;www.gimnazija-klasicna-rboskovic-du.skole.hr;rudjer.boskovic@inet.hr;"Šime Zupčić";"(+385 20) 642 227";sime.zupcic1@skole.hr;"Fizička ili privatna pravna osoba";Ustanove;"Odgoj, obrazovanje, znanost i sport";"2020-02-07 10:12:15"
68;"Bjelovarski sajam d.o.o.";95270568579;"Dr. Ante Starčevića 8";43000;Bjelovar;"(+385 43) 238 840";"(+385 43) 238 841";www.bj-sajam.hr;bj-sajam@bj-sajam.hr;"Nino Kovačić";"(+385 43) 238 852";kovacic@bj-sajam.hr;"Jedinica lokalne ili područne (regionalne) samouprave";"Trgovačka društva";Gospodarstvo;"2022-02-07 08:47:46"
69;"Bjelovarsko-bilogorska županija";12928625880;"Dr. Ante Starčevića 8";43000;Bjelovar;"(+385 43) 221 900";"(+385 43) 244 450";www.bbz.hr;kabinet.zupana@bbz.hr;"Mirjana Posavac";"(+385 43) 221 905";mirjana.posavac@bbz.hr;"Republika Hrvatska";"Jedinica lokalne ili područne (regionalne) samouprave";"Javna uprava i politički sustav";"2021-12-02 09:20:22"
